year,title,score,passing,director,writer,producer,overall
2017.0,Batman vs. Two-Face,3.0,1.0,0.0,0.0,0,0.0
2017.0,Battle of the Sexes,3.0,1.0,1.0,0.0,0,1.0
2017.0,Baywatch,1.0,0.0,0.0,0.0,0,0.0
2017.0,Beach Rats,3.0,1.0,1.0,1.0,0,2.0
2017.0,Beatriz at Dinner,3.0,1.0,0.0,0.0,1,1.0
2017.0,Before I Fall,3.0,1.0,1.0,1.0,0,2.0
2017.0,The Beguiled,3.0,1.0,1.0,1.0,1,3.0
2017.0,Berlin Syndrome,1.0,0.0,1.0,0.0,0,1.0
2017.0,The Big Sick,3.0,1.0,0.0,1.0,0,1.0
2017.0,Blade Runner 2049,3.0,1.0,0.0,0.0,1,1.0
2017.0,Borg vs McEnroe,1.0,0.0,0.0,0.0,0,0.0
2017.0,The Boss Baby,1.0,0.0,0.0,0.0,1,1.0
2017.0,The Breadwinner,3.0,1.0,1.0,1.0,0,2.0
2017.0,Bright,3.0,1.0,0.0,0.0,0,0.0
2017.0,Bushwick,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Bye Bye Man,3.0,1.0,1.0,0.0,0,1.0
2017.0,Call Me by Your Name,3.0,1.0,0.0,0.0,0,0.0
2017.0,Captain Underpants: The First Epic Movie,1.0,0.0,0.0,0.0,1,1.0
2017.0,Cars 3,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Circle,3.0,1.0,0.0,0.0,0,0.0
2017.0,Coco,3.0,1.0,0.0,0.0,1,1.0
2017.0,The Coin Heist,3.0,1.0,1.0,1.0,0,2.0
2017.0,Creep 2,0.0,0.0,0.0,0.0,0,0.0
2017.0,Daddy's Home 2,3.0,1.0,0.0,0.0,0,0.0
2017.0,Dance Academy: The Movie,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Dark Tower,1.0,0.0,0.0,0.0,0,0.0
2017.0,Darkest Hour,2.0,0.0,0.0,0.0,1,1.0
2017.0,Death Note,0.0,0.0,0.0,0.0,0,0.0
2017.0,The Death of Stalin,1.0,0.0,0.0,0.0,0,0.0
2017.0,Death Race 2050,3.0,1.0,0.0,0.0,0,0.0
2017.0,Deidra & Laney Rob a Train,3.0,1.0,1.0,0.0,0,1.0
2017.0,Despicable Me 3,3.0,1.0,0.0,0.0,0,0.0
2017.0,Detroit,2.0,0.0,1.0,0.0,1,2.0
2017.0,Diary of a Wimpy Kid: The Long Haul,0.0,0.0,0.0,0.0,1,1.0
2017.0,The Dinner,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Disaster Artist,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Discovery,3.0,1.0,0.0,0.0,0,0.0
2017.0,Disobedience,3.0,1.0,0.0,1.0,1,2.0
2017.0,Downsizing,1.0,0.0,0.0,0.0,0,0.0
2017.0,Dunkirk,0.0,0.0,0.0,0.0,1,1.0
2017.0,El Camino Christmas,2.0,0.0,0.0,0.0,1,1.0
2017.0,The Emoji Movie,1.0,0.0,0.0,0.0,0,0.0
2017.0,The Endless,1.0,0.0,0.0,0.0,0,0.0
2017.0,The Escape,3.0,1.0,0.0,0.0,0,0.0
2017.0,"Everything, Everything",3.0,1.0,1.0,0.0,0,1.0
2017.0,The Fate of the Furious,3.0,1.0,0.0,0.0,0,0.0
2017.0,Felicite,3.0,1.0,0.0,0.0,0,0.0
2017.0,Fifty Shades Darker,3.0,1.0,0.0,0.0,0,0.0
2017.0,First Reformed,1.0,0.0,0.0,0.0,0,0.0
2017.0,Fist Fight,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Florida Project,3.0,1.0,0.0,0.0,1,1.0
2017.0,Flower,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Foreigner,1.0,0.0,0.0,0.0,0,0.0
2017.0,Fun Mom Dinner,3.0,1.0,0.0,0.0,0,0.0
2017.0,Gemini,3.0,1.0,0.0,0.0,0,0.0
2017.0,Geostorm,3.0,1.0,0.0,0.0,0,0.0
2017.0,Gerald's Game,3.0,1.0,0.0,0.0,0,0.0
2017.0,Get Out,3.0,1.0,0.0,0.0,0,0.0
2017.0,Ghost in the Shell,3.0,1.0,0.0,0.0,0,0.0
2017.0,Gifted,3.0,1.0,0.0,0.0,0,0.0
2017.0,Girls Trip,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Glass Castle,3.0,1.0,0.0,1.0,0,1.0
2017.0,God's Own Country,0.0,0.0,0.0,0.0,0,0.0
2017.0,Going In Style,1.0,0.0,0.0,0.0,0,0.0
2017.0,Good Time,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Greatest Showman,3.0,1.0,0.0,0.0,0,0.0
2017.0,Guardians of the Galaxy Vol. 2,3.0,1.0,0.0,0.0,1,1.0
2017.0,Happy Death Day,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Hitman's Bodyguard,3.0,1.0,0.0,0.0,0,0.0
2017.0,Home Again,3.0,1.0,1.0,1.0,1,3.0
2017.0,Hostiles,3.0,1.0,0.0,0.0,0,0.0
2017.0,How to Be a Latin Lover,2.0,0.0,0.0,0.0,0,0.0
2017.0,I Don't Feel at Home in This World Anymore,3.0,1.0,0.0,0.0,0,0.0
2017.0,I Kill Giants,3.0,1.0,0.0,0.0,0,0.0
2017.0,"I, Tonya",3.0,1.0,0.0,0.0,1,1.0
2017.0,The Incredible Jessica James,3.0,1.0,0.0,0.0,0,0.0
2017.0,Ingrid Goes West,3.0,1.0,0.0,0.0,0,0.0
2017.0,It,3.0,1.0,0.0,0.0,0,0.0
2017.0,It Comes at Night,3.0,1.0,0.0,0.0,0,0.0
2017.0,Jigsaw,3.0,1.0,0.0,0.0,0,0.0
2017.0,John Wick: Chapter 2,1.0,0.0,0.0,0.0,0,0.0
2017.0,Jumanji: Welcome to the Jungle,3.0,1.0,0.0,0.0,0,0.0
2017.0,Justice League,3.0,1.0,0.0,0.0,1,1.0
2017.0,Kidnap,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Killing of a Sacred Deer,3.0,1.0,0.0,0.0,0,0.0
2017.0,Kingsman: The Golden Circle,1.0,0.0,0.0,1.0,0,1.0
2017.0,Kong: Skull Island,1.0,0.0,0.0,0.0,0,0.0
2017.0,Lady Bird,3.0,1.0,1.0,1.0,0,2.0
2017.0,The Last Word,3.0,1.0,0.0,0.0,0,0.0
2017.0,The LEGO Batman Movie,3.0,1.0,0.0,0.0,0,0.0
2017.0,Life,3.0,1.0,0.0,0.0,1,1.0
2017.0,The Little Hours,3.0,1.0,0.0,0.0,1,1.0
2017.0,Logan,3.0,1.0,0.0,0.0,1,1.0
2017.0,Logan Lucky,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Man with the Iron Heart,1.0,0.0,0.0,1.0,0,1.0
2017.0,Mark Felt: The Man Who Brought Down the White House,2.0,0.0,0.0,0.0,0,0.0
2017.0,Marshall,1.0,0.0,0.0,0.0,0,0.0
2017.0,Mayhem,3.0,1.0,0.0,0.0,0,0.0
2017.0,Megan Leavy,3.0,1.0,1.0,1.0,0,2.0
2017.0,The Meyerowitz Stories (new and selected),1.0,0.0,0.0,0.0,0,0.0
2017.0,Molly's Game,3.0,1.0,0.0,0.0,0,0.0
2017.0,Mom and Dad,3.0,1.0,0.0,0.0,0,0.0
2017.0,Mother!,2.0,0.0,0.0,0.0,0,0.0
2017.0,The Mountain Between Us,3.0,1.0,0.0,0.0,0,0.0
2017.0,Mudbound,3.0,1.0,1.0,1.0,0,2.0
2017.0,The Mummy,2.0,0.0,0.0,0.0,0,0.0
2017.0,Murder on the Orient Express,3.0,1.0,0.0,0.0,0,0.0
2017.0,My Cousin Rachel,3.0,1.0,0.0,0.0,0,0.0
2017.0,My Friend Dahmer,1.0,0.0,0.0,0.0,0,0.0
2017.0,My Little Pony: The Movie,3.0,1.0,0.0,1.0,0,1.0
2017.0,Naked,2.0,0.0,0.0,0.0,0,0.0
2017.0,Nogemu noraifu: Zero,3.0,1.0,1.0,0.0,0,1.0
2017.0,The Nut Job 2: Nutty By Nature,3.0,1.0,0.0,0.0,0,0.0
2017.0,Okja,3.0,1.0,0.0,0.0,1,1.0
2017.0,On Body and Soul,3.0,1.0,1.0,1.0,1,3.0
2017.0,The Only Living Boy in New York,1.0,0.0,0.0,0.0,0,0.0
2017.0,Only the Brave,2.0,0.0,0.0,0.0,1,1.0
2017.0,Paddington 2,3.0,1.0,0.0,0.0,0,0.0
2017.0,Phantom Thread,3.0,1.0,0.0,0.0,1,1.0
2017.0,Pilgrimage,0.0,0.0,0.0,0.0,0,0.0
2017.0,Pirates of the Caribbean: Dead Men Tell No Tales,1.0,0.0,0.0,0.0,0,0.0
2017.0,Pitch Perfect 3,3.0,1.0,1.0,1.0,1,3.0
2017.0,Pokemon the Movie: I Choose You!,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Post,3.0,1.0,0.0,1.0,1,2.0
2017.0,Power Rangers,3.0,1.0,0.0,0.0,0,0.0
2017.0,Professor Marston and the Wonder Women,3.0,1.0,1.0,1.0,1,3.0
2017.0,Psych: The Movie,3.0,1.0,0.0,0.0,0,0.0
2017.0,Revenge,0.0,0.0,1.0,1.0,0,2.0
2017.0,The Ritual,0.0,0.0,0.0,0.0,0,0.0
2017.0,"Roman J. Israel, Esq.",3.0,1.0,0.0,0.0,0,0.0
2017.0,Rough Night,3.0,1.0,1.0,0.0,0,1.0
2017.0,Sand Castle,0.0,0.0,0.0,0.0,0,0.0
2017.0,The Shack,3.0,1.0,0.0,0.0,0,0.0
2017.0,The Shape of Water,3.0,1.0,0.0,1.0,0,1.0
2017.0,Snatched,3.0,1.0,0.0,1.0,0,1.0
2017.0,The Space Between Us,3.0,1.0,0.0,0.0,0,0.0
2017.0,Spider-Man: Homecoming,3.0,1.0,0.0,0.0,1,1.0
2017.0,The Square,1.0,0.0,0.0,0.0,0,0.0
2017.0,Star Wars: The Last Jedi,3.0,1.0,0.0,0.0,1,1.0
2017.0,Sweet Virginia,3.0,1.0,0.0,0.0,0,0.0
2017.0,T2 Trainspotting,3.0,1.0,0.0,0.0,0,0.0
2017.0,Table 19,3.0,1.0,0.0,0.0,0,0.0
2017.0,That's Not Me,3.0,1.0,0.0,0.0,0,0.0
2017.0,Thor: Ragnarok,1.0,0.0,0.0,0.0,1,1.0
2017.0,Thoroughbreds,3.0,1.0,0.0,0.0,0,0.0
2017.0,"Three Billboards Outside Ebbing, Missouri",3.0,1.0,0.0,0.0,0,0.0
2017.0,To the bone,3.0,1.0,1.0,1.0,0,2.0
2017.0,Transformers: The Last Knight,1.0,0.0,0.0,0.0,0,0.0
2017.0,Tulip Fever,3.0,1.0,0.0,1.0,1,2.0
2017.0,Tuntematon sotilas,3.0,1.0,0.0,0.0,0,0.0
2017.0,Un beau soleil interieur,2.0,0.0,1.0,0.0,0,1.0
2017.0,Unforgettable,3.0,1.0,1.0,0.0,0,1.0
2017.0,Unlocked,3.0,1.0,0.0,0.0,0,0.0
2017.0,Valerian and the City of a Thousand Planets,1.0,0.0,0.0,0.0,1,1.0
2017.0,Victoria & Abdul,2.0,0.0,0.0,0.0,0,0.0
2017.0,The Wall,0.0,0.0,0.0,0.0,0,0.0
2017.0,War for the Planet of the Apes,1.0,0.0,0.0,0.0,1,1.0
2017.0,What Happened to Monday,3.0,1.0,0.0,0.0,1,1.0
2017.0,Wheelman,1.0,0.0,0.0,0.0,0,0.0
2017.0,Wilson,3.0,1.0,0.0,0.0,0,0.0
2017.0,Wind River,3.0,1.0,0.0,0.0,0,0.0
2017.0,Wish Upon,3.0,1.0,0.0,1.0,0,1.0
2017.0,Wonder,3.0,1.0,0.0,0.0,0,0.0
2017.0,Wonder Wheel,3.0,1.0,0.0,0.0,1,1.0
2017.0,Wonder Woman,3.0,1.0,1.0,0.0,1,2.0
2017.0,xXx: Return of Xander Cage,3.0,1.0,0.0,0.0,0,0.0
2017.0,You Get Me,3.0,1.0,0.0,0.0,0,0.0
2017.0,You Were Never Really Here,1.0,0.0,1.0,1.0,0,2.0
2016.0,10 Cloverfield Lane,3.0,1.0,0.0,0.0,1,1.0
2016.0,10 Days In A Madhouse,3.0,1.0,0.0,0.0,0,0.0
2016.0,13 Hours,2.0,0.0,0.0,0.0,0,0.0
2016.0,20th Century Women,3.0,1.0,0.0,0.0,1,1.0
2016.0,The 5th Wave,2.0,0.0,0.0,1.0,0,1.0
2016.0,The 9th Life of Louis Drax,1.0,0.0,0.0,0.0,0,0.0
2016.0,A Cure for Wellness,1.0,0.0,0.0,0.0,0,0.0
2016.0,A Dark Song,0.0,0.0,0.0,0.0,0,0.0
2016.0,A Monster Calls,3.0,1.0,0.0,0.0,0,0.0
2016.0,A Quiet Passion,3.0,1.0,0.0,0.0,0,0.0
2016.0,A United Kingdom,3.0,1.0,1.0,0.0,0,1.0
2016.0,Absolutely Fabulous: The Movie,3.0,1.0,1.0,1.0,0,2.0
2016.0,The Accountant,2.0,0.0,0.0,0.0,0,0.0
2016.0,Adventures in Babysitting,3.0,1.0,0.0,1.0,1,2.0
2016.0,Alice Through the Looking Glass,3.0,1.0,0.0,1.0,1,2.0
2016.0,Allied,3.0,1.0,0.0,0.0,0,0.0
2016.0,Almost Christmas,3.0,1.0,0.0,0.0,0,0.0
2016.0,Always Shine,3.0,1.0,1.0,0.0,0,1.0
2016.0,American Honey,3.0,1.0,1.0,1.0,1,3.0
2016.0,Approaching the Unknown,0.0,0.0,0.0,0.0,0,0.0
2016.0,Aquarius,3.0,1.0,0.0,0.0,0,0.0
2016.0,Arrival,3.0,1.0,0.0,0.0,0,0.0
2016.0,Aruvi,3.0,1.0,0.0,0.0,0,0.0
2016.0,Assassin's Creed,1.0,0.0,0.0,0.0,0,0.0
2016.0,The Autopsy of Jane Doe,1.0,0.0,0.0,0.0,0,0.0
2016.0,Bad Moms,3.0,1.0,0.0,0.0,1,1.0
2016.0,Ballerina,3.0,1.0,0.0,0.0,0,0.0
2016.0,Bang Gang,3.0,1.0,1.0,0.0,0,1.0
2016.0,Bar Bahar,3.0,1.0,1.0,1.0,0,2.0
2016.0,Barbershop: The Next Cut,3.0,1.0,0.0,0.0,0,0.0
2016.0,Batman v Superman: Dawn of Justice,2.0,0.0,0.0,0.0,1,1.0
2016.0,Batman: Return of the Caped Crusaders,1.0,0.0,0.0,0.0,0,0.0
2016.0,Batman: The Killing Joke,1.0,0.0,0.0,0.0,0,0.0
2016.0,Be Somebody,3.0,1.0,0.0,0.0,0,0.0
2016.0,Belgica,1.0,0.0,0.0,0.0,0,0.0
2016.0,The Belko Experiment,3.0,1.0,0.0,0.0,0,0.0
2016.0,Below Her Mouth,3.0,1.0,1.0,0.0,0,1.0
2016.0,Better Watch Out,3.0,1.0,0.0,0.0,0,0.0
2016.0,The BFG,3.0,1.0,0.0,1.0,1,2.0
2016.0,Birkebeinerne,1.0,0.0,0.0,0.0,0,0.0
2016.0,The Birth of a Nation,1.0,0.0,0.0,0.0,0,0.0
2016.0,Blair Witch,2.0,0.0,0.0,0.0,0,0.0
2016.0,The Boss,3.0,1.0,0.0,1.0,0,1.0
2016.0,The Boy,3.0,1.0,0.0,0.0,0,0.0
2016.0,Bridget Jones's Baby,3.0,1.0,1.0,1.0,1,3.0
2016.0,The Brothers Grimsby,1.0,0.0,0.0,0.0,1,1.0
2016.0,Busanhaeng,3.0,1.0,0.0,0.0,0,0.0
2016.0,Cafe Society,1.0,0.0,0.0,0.0,1,1.0
2016.0,Captain America: Civil War,3.0,1.0,0.0,0.0,1,1.0
2016.0,Captain Fantastic,3.0,1.0,0.0,0.0,0,0.0
2016.0,Catfight,3.0,1.0,0.0,0.0,0,0.0
2016.0,Central Intelligence,2.0,0.0,0.0,0.0,0,0.0
2016.0,Certain Women,3.0,1.0,1.0,1.0,0,2.0
2016.0,The Choice,3.0,1.0,0.0,0.0,0,0.0
2016.0,Christine,3.0,1.0,0.0,0.0,0,0.0
2016.0,Collateral Beauty,2.0,0.0,0.0,0.0,0,0.0
2016.0,Colossal,0.0,0.0,0.0,0.0,0,0.0
2016.0,The Conjuring 2,3.0,1.0,0.0,0.0,0,0.0
2016.0,Contratiempo,1.0,0.0,0.0,0.0,0,0.0
2016.0,Criminal,3.0,1.0,0.0,0.0,1,1.0
2016.0,"Crouching Tiger, Hidden Dragon: Sword of Destiny",3.0,1.0,0.0,0.0,0,0.0
2016.0,Dad's Army,3.0,1.0,0.0,0.0,0,0.0
2016.0,Dangal,3.0,1.0,0.0,0.0,1,1.0
2016.0,The Darkness,2.0,0.0,0.0,0.0,0,0.0
2016.0,Deadpool,1.0,0.0,0.0,0.0,1,1.0
2016.0,Dear Eleanor,3.0,1.0,0.0,0.0,0,0.0
2016.0,Deepwater Horizon,2.0,0.0,0.0,0.0,0,0.0
2016.0,Demain tout commence,3.0,1.0,0.0,0.0,0,0.0
2016.0,Denial,3.0,1.0,0.0,0.0,0,0.0
2016.0,Dernieres nouvelles du cosmos,3.0,1.0,1.0,0.0,0,1.0
2016.0,Die letzte Sau,1.0,0.0,0.0,0.0,0,0.0
2016.0,Dirty 30,3.0,1.0,0.0,1.0,0,1.0
2016.0,Dirty Grandpa,2.0,0.0,0.0,0.0,0,0.0
2016.0,The Divergent Series: Allegiant,3.0,1.0,0.0,1.0,0,1.0
2016.0,Divines,3.0,1.0,1.0,1.0,0,2.0
2016.0,Doctor Strange,1.0,0.0,0.0,0.0,1,1.0
2016.0,Don't Breathe,3.0,1.0,0.0,0.0,0,0.0
2016.0,Don't Hang Up,0.0,0.0,0.0,0.0,0,0.0
2016.0,The Dragon Spell,1.0,0.0,0.0,0.0,0,0.0
2016.0,The Duel,1.0,0.0,0.0,0.0,0,0.0
2016.0,The Eagle Huntress,1.0,0.0,0.0,0.0,1,1.0
2016.0,Eddie the Eagle,2.0,0.0,0.0,0.0,0,0.0
2016.0,The Edge of Seventeen,3.0,1.0,1.0,1.0,0,2.0
2016.0,El Olivo,3.0,1.0,1.0,0.0,0,1.0
2016.0,Elle,3.0,1.0,0.0,0.0,0,0.0
2016.0,Elvis & Nixon,2.0,0.0,1.0,0.0,0,1.0
2016.0,Equity,3.0,1.0,1.0,1.0,0,2.0
2016.0,Everybody Wants Some,0.0,0.0,0.0,0.0,1,1.0
2016.0,Extremis,3.0,1.0,0.0,0.0,0,0.0
2016.0,Fantastic Beasts and Where to Find Them,3.0,1.0,0.0,1.0,0,1.0
2016.0,Fences,3.0,1.0,0.0,0.0,0,0.0
